County,State,"County, State"
Dinwiddie,Virginia,"Dinwiddie,Virginia"
Essex,Virginia,"Essex,Virginia"
Fairfax,Virginia,"Fairfax,Virginia"
Fauquier,Virginia,"Fauquier,Virginia"
Floyd,Virginia,"Floyd,Virginia"
Fluvanna,Virginia,"Fluvanna,Virginia"
Franklin,Virginia,"Franklin,Virginia"
Frederick,Virginia,"Frederick,Virginia"
Giles,Virginia,"Giles,Virginia"
Gloucester,Virginia,"Gloucester,Virginia"
Goochland,Virginia,"Goochland,Virginia"
Grayson,Virginia,"Grayson,Virginia"
Greene,Virginia,"Greene,Virginia"
Greensville,Virginia,"Greensville,Virginia"
Halifax,Virginia,"Halifax,Virginia"
Hanover,Virginia,"Hanover,Virginia"
Henrico,Virginia,"Henrico,Virginia"
Henry,Virginia,"Henry,Virginia"
Highland,Virginia,"Highland,Virginia"
Isle of Wight,Virginia,"Isle of Wight,Virginia"
James City,Virginia,"James City,Virginia"
King and Queen,Virginia,"King and Queen,Virginia"
King George,Virginia,"King George,Virginia"
King William,Virginia,"King William,Virginia"
Lancaster,Virginia,"Lancaster,Virginia"
Lee,Virginia,"Lee,Virginia"
Loudoun,Virginia,"Loudoun,Virginia"
Louisa,Virginia,"Louisa,Virginia"
Lunenburg,Virginia,"Lunenburg,Virginia"
Madison,Virginia,"Madison,Virginia"
Mathews,Virginia,"Mathews,Virginia"
Mecklenburg,Virginia,"Mecklenburg,Virginia"
Middlesex,Virginia,"Middlesex,Virginia"
Montgomery,Virginia,"Montgomery,Virginia"
Nelson,Virginia,"Nelson,Virginia"
New Kent,Virginia,"New Kent,Virginia"
Northampton,Virginia,"Northampton,Virginia"
Northumberland,Virginia,"Northumberland,Virginia"
Nottoway,Virginia,"Nottoway,Virginia"
Orange,Virginia,"Orange,Virginia"
Page,Virginia,"Page,Virginia"
Patrick,Virginia,"Patrick,Virginia"
Pittsylvania,Virginia,"Pittsylvania,Virginia"
Powhatan,Virginia,"Powhatan,Virginia"
Prince Edward,Virginia,"Prince Edward,Virginia"
Prince George,Virginia,"Prince George,Virginia"
Prince William,Virginia,"Prince William,Virginia"
Pulaski,Virginia,"Pulaski,Virginia"
Rappahannock,Virginia,"Rappahannock,Virginia"
Richmond,Virginia,"Richmond,Virginia"
Roanoke,Virginia,"Roanoke,Virginia"
Rockbridge,Virginia,"Rockbridge,Virginia"
Rockingham,Virginia,"Rockingham,Virginia"
Russell,Virginia,"Russell,Virginia"
Scott,Virginia,"Scott,Virginia"
Shenandoah,Virginia,"Shenandoah,Virginia"
Smyth,Virginia,"Smyth,Virginia"
Southampton,Virginia,"Southampton,Virginia"
Spotsylvania,Virginia,"Spotsylvania,Virginia"
Stafford,Virginia,"Stafford,Virginia"
Surry,Virginia,"Surry,Virginia"
Sussex,Virginia,"Sussex,Virginia"
Tazewell,Virginia,"Tazewell,Virginia"
Warren,Virginia,"Warren,Virginia"
Washington,Virginia,"Washington,Virginia"
Westmoreland,Virginia,"Westmoreland,Virginia"
Wise,Virginia,"Wise,Virginia"
Wythe,Virginia,"Wythe,Virginia"
York,Virginia,"York,Virginia"
"Alexandria,",Virginia,"Alexandria,Virginia"
"Bedford,",Virginia,"Bedford,Virginia"
"Bristol,",Virginia,"Bristol,Virginia"
"Buena Vista,",Virginia,"Buena Vista,Virginia"
"Charlottesville,",Virginia,"Charlottesville,Virginia"
"Chesapeake,",Virginia,"Chesapeake,Virginia"
"Colonial Heights,",Virginia,"Colonial Heights,Virginia"
"Covington,",Virginia,"Covington,Virginia"
"Danville,",Virginia,"Danville,Virginia"
"Emporia,",Virginia,"Emporia,Virginia"
"Fairfax,",Virginia,"Fairfax,Virginia"
"Falls Church,",Virginia,"Falls Church,Virginia"
"Franklin,",Virginia,"Franklin,Virginia"
"Fredericksburg,",Virginia,"Fredericksburg,Virginia"
"Galax,",Virginia,"Galax,Virginia"
"Hampton,",Virginia,"Hampton,Virginia"
"Harrisonburg,",Virginia,"Harrisonburg,Virginia"
"Hopewell,",Virginia,"Hopewell,Virginia"
"Lexington,",Virginia,"Lexington,Virginia"
"Lynchburg,",Virginia,"Lynchburg,Virginia"
"Manassas,",Virginia,"Manassas,Virginia"
"Manassas Park,",Virginia,"Manassas Park,Virginia"
"Martinsville,",Virginia,"Martinsville,Virginia"
"Newport News,",Virginia,"Newport News,Virginia"
"Norfolk,",Virginia,"Norfolk,Virginia"
"Norton,",Virginia,"Norton,Virginia"
"Petersburg,",Virginia,"Petersburg,Virginia"
"Poquoson,",Virginia,"Poquoson,Virginia"
"Portsmouth,",Virginia,"Portsmouth,Virginia"
"Radford,",Virginia,"Radford,Virginia"
"Richmond,",Virginia,"Richmond,Virginia"
"Roanoke,",Virginia,"Roanoke,Virginia"
"Salem,",Virginia,"Salem,Virginia"
"Staunton,",Virginia,"Staunton,Virginia"
"Suffolk,",Virginia,"Suffolk,Virginia"
"Virginia Beach,",Virginia,"Virginia Beach,Virginia"
"Waynesboro,",Virginia,"Waynesboro,Virginia"
"Williamsburg,",Virginia,"Williamsburg,Virginia"
"Winchester,",Virginia,"Winchester,Virginia"
Adams,Washington,"Adams,Washington"
Asotin,Washington,"Asotin,Washington"
Benton,Washington,"Benton,Washington"
Chelan,Washington,"Chelan,Washington"
Clallam,Washington,"Clallam,Washington"
Clark,Washington,"Clark,Washington"
Columbia,Washington,"Columbia,Washington"
Cowlitz,Washington,"Cowlitz,Washington"
Douglas,Washington,"Douglas,Washington"
Ferry,Washington,"Ferry,Washington"
Franklin,Washington,"Franklin,Washington"
Garfield,Washington,"Garfield,Washington"
Grant,Washington,"Grant,Washington"
Grays Harbor,Washington,"Grays Harbor,Washington"
Island,Washington,"Island,Washington"
Jefferson,Washington,"Jefferson,Washington"
King,Washington,"King,Washington"
Kitsap,Washington,"Kitsap,Washington"
Kittitas,Washington,"Kittitas,Washington"
Klickitat,Washington,"Klickitat,Washington"
Lewis,Washington,"Lewis,Washington"
Lincoln,Washington,"Lincoln,Washington"
Mason,Washington,"Mason,Washington"
Okanogan,Washington,"Okanogan,Washington"
Pacific,Washington,"Pacific,Washington"
Pend Oreille,Washington,"Pend Oreille,Washington"
Pierce,Washington,"Pierce,Washington"
San Juan,Washington,"San Juan,Washington"
Skagit,Washington,"Skagit,Washington"
Skamania,Washington,"Skamania,Washington"
Snohomish,Washington,"Snohomish,Washington"
Spokane,Washington,"Spokane,Washington"
Stevens,Washington,"Stevens,Washington"
Thurston,Washington,"Thurston,Washington"
Wahkiakum,Washington,"Wahkiakum,Washington"
Walla Walla,Washington,"Walla Walla,Washington"
Whatcom,Washington,"Whatcom,Washington"
Whitman,Washington,"Whitman,Washington"
Yakima,Washington,"Yakima,Washington"
Barbour,West Virginia,"Barbour,West Virginia"
Berkeley,West Virginia,"Berkeley,West Virginia"
Boone,West Virginia,"Boone,West Virginia"
Braxton,West Virginia,"Braxton,West Virginia"
Brooke,West Virginia,"Brooke,West Virginia"
Cabell,West Virginia,"Cabell,West Virginia"
Calhoun,West Virginia,"Calhoun,West Virginia"
Clay,West Virginia,"Clay,West Virginia"
Doddridge,West Virginia,"Doddridge,West Virginia"
Fayette,West Virginia,"Fayette,West Virginia"
Gilmer,West Virginia,"Gilmer,West Virginia"
Grant,West Virginia,"Grant,West Virginia"
Greenbrier,West Virginia,"Greenbrier,West Virginia"
Hampshire,West Virginia,"Hampshire,West Virginia"
Hancock,West Virginia,"Hancock,West Virginia"
Hardy,West Virginia,"Hardy,West Virginia"
Harrison,West Virginia,"Harrison,West Virginia"
Jackson,West Virginia,"Jackson,West Virginia"
Jefferson,West Virginia,"Jefferson,West Virginia"
Kanawha,West Virginia,"Kanawha,West Virginia"
Lewis,West Virginia,"Lewis,West Virginia"
Lincoln,West Virginia,"Lincoln,West Virginia"
Logan,West Virginia,"Logan,West Virginia"
McDowell,West Virginia,"McDowell,West Virginia"
Marion,West Virginia,"Marion,West Virginia"
Marshall,West Virginia,"Marshall,West Virginia"
Mason,West Virginia,"Mason,West Virginia"
Mercer,West Virginia,"Mercer,West Virginia"
Mineral,West Virginia,"Mineral,West Virginia"
Mingo,West Virginia,"Mingo,West Virginia"
Monongalia,West Virginia,"Monongalia,West Virginia"
Monroe,West Virginia,"Monroe,West Virginia"
Morgan,West Virginia,"Morgan,West Virginia"
Nicholas,West Virginia,"Nicholas,West Virginia"
Ohio,West Virginia,"Ohio,West Virginia"
Pendleton,West Virginia,"Pendleton,West Virginia"
Pleasants,West Virginia,"Pleasants,West Virginia"
Pocahontas,West Virginia,"Pocahontas,West Virginia"
Preston,West Virginia,"Preston,West Virginia"
Putnam,West Virginia,"Putnam,West Virginia"
Raleigh,West Virginia,"Raleigh,West Virginia"
Randolph,West Virginia,"Randolph,West Virginia"
Ritchie,West Virginia,"Ritchie,West Virginia"
Roane,West Virginia,"Roane,West Virginia"
Summers,West Virginia,"Summers,West Virginia"
Taylor,West Virginia,"Taylor,West Virginia"
Tucker,West Virginia,"Tucker,West Virginia"
Tyler,West Virginia,"Tyler,West Virginia"
Upshur,West Virginia,"Upshur,West Virginia"
Wayne,West Virginia,"Wayne,West Virginia"
Webster,West Virginia,"Webster,West Virginia"
Wetzel,West Virginia,"Wetzel,West Virginia"
Wirt,West Virginia,"Wirt,West Virginia"
Wood,West Virginia,"Wood,West Virginia"
Wyoming,West Virginia,"Wyoming,West Virginia"
Adams,Wisconsin,"Adams,Wisconsin"
Ashland,Wisconsin,"Ashland,Wisconsin"
Barron,Wisconsin,"Barron,Wisconsin"
Bayfield,Wisconsin,"Bayfield,Wisconsin"
Brown,Wisconsin,"Brown,Wisconsin"
Buffalo,Wisconsin,"Buffalo,Wisconsin"
Burnett,Wisconsin,"Burnett,Wisconsin"
Calumet,Wisconsin,"Calumet,Wisconsin"
Chippewa,Wisconsin,"Chippewa,Wisconsin"
Clark,Wisconsin,"Clark,Wisconsin"
Columbia,Wisconsin,"Columbia,Wisconsin"
Crawford,Wisconsin,"Crawford,Wisconsin"
Dane,Wisconsin,"Dane,Wisconsin"
Dodge,Wisconsin,"Dodge,Wisconsin"
Door,Wisconsin,"Door,Wisconsin"
Douglas,Wisconsin,"Douglas,Wisconsin"
Dunn,Wisconsin,"Dunn,Wisconsin"
Eau Claire,Wisconsin,"Eau Claire,Wisconsin"
Florence,Wisconsin,"Florence,Wisconsin"
Fond du Lac,Wisconsin,"Fond du Lac,Wisconsin"
Forest,Wisconsin,"Forest,Wisconsin"
Grant,Wisconsin,"Grant,Wisconsin"
Green,Wisconsin,"Green,Wisconsin"
Green Lake,Wisconsin,"Green Lake,Wisconsin"
Iowa,Wisconsin,"Iowa,Wisconsin"
Iron,Wisconsin,"Iron,Wisconsin"
Jackson,Wisconsin,"Jackson,Wisconsin"
Jefferson,Wisconsin,"Jefferson,Wisconsin"
Juneau,Wisconsin,"Juneau,Wisconsin"
Kenosha,Wisconsin,"Kenosha,Wisconsin"
Kewaunee,Wisconsin,"Kewaunee,Wisconsin"
La Crosse,Wisconsin,"La Crosse,Wisconsin"
Lafayette,Wisconsin,"Lafayette,Wisconsin"
Langlade,Wisconsin,"Langlade,Wisconsin"
Lincoln,Wisconsin,"Lincoln,Wisconsin"
Manitowoc,Wisconsin,"Manitowoc,Wisconsin"
Marathon,Wisconsin,"Marathon,Wisconsin"
Marinette,Wisconsin,"Marinette,Wisconsin"
Marquette,Wisconsin,"Marquette,Wisconsin"
Menominee,Wisconsin,"Menominee,Wisconsin"
Milwaukee,Wisconsin,"Milwaukee,Wisconsin"
Monroe,Wisconsin,"Monroe,Wisconsin"
Oconto,Wisconsin,"Oconto,Wisconsin"
Oneida,Wisconsin,"Oneida,Wisconsin"
Outagamie,Wisconsin,"Outagamie,Wisconsin"
Ozaukee,Wisconsin,"Ozaukee,Wisconsin"
Pepin,Wisconsin,"Pepin,Wisconsin"
Pierce,Wisconsin,"Pierce,Wisconsin"
Polk,Wisconsin,"Polk,Wisconsin"
Portage,Wisconsin,"Portage,Wisconsin"
Price,Wisconsin,"Price,Wisconsin"
Racine,Wisconsin,"Racine,Wisconsin"
Richland,Wisconsin,"Richland,Wisconsin"
Rock,Wisconsin,"Rock,Wisconsin"
Rusk,Wisconsin,"Rusk,Wisconsin"
St. Croix,Wisconsin,"St. Croix,Wisconsin"
Sauk,Wisconsin,"Sauk,Wisconsin"
Sawyer,Wisconsin,"Sawyer,Wisconsin"
Shawano,Wisconsin,"Shawano,Wisconsin"
Sheboygan,Wisconsin,"Sheboygan,Wisconsin"
Taylor,Wisconsin,"Taylor,Wisconsin"
Trempealeau,Wisconsin,"Trempealeau,Wisconsin"
Vernon,Wisconsin,"Vernon,Wisconsin"
Vilas,Wisconsin,"Vilas,Wisconsin"
Walworth,Wisconsin,"Walworth,Wisconsin"
Washburn,Wisconsin,"Washburn,Wisconsin"
Washington,Wisconsin,"Washington,Wisconsin"
Waukesha,Wisconsin,"Waukesha,Wisconsin"
Waupaca,Wisconsin,"Waupaca,Wisconsin"
Waushara,Wisconsin,"Waushara,Wisconsin"
Winnebago,Wisconsin,"Winnebago,Wisconsin"
Wood,Wisconsin,"Wood,Wisconsin"
Albany,Wyoming,"Albany,Wyoming"
Big Horn,Wyoming,"Big Horn,Wyoming"
Campbell,Wyoming,"Campbell,Wyoming"
Carbon,Wyoming,"Carbon,Wyoming"
Converse,Wyoming,"Converse,Wyoming"
Crook,Wyoming,"Crook,Wyoming"
Fremont,Wyoming,"Fremont,Wyoming"
Goshen,Wyoming,"Goshen,Wyoming"
Hot Springs,Wyoming,"Hot Springs,Wyoming"
Johnson,Wyoming,"Johnson,Wyoming"
Laramie,Wyoming,"Laramie,Wyoming"
Lincoln,Wyoming,"Lincoln,Wyoming"
Natrona,Wyoming,"Natrona,Wyoming"
Niobrara,Wyoming,"Niobrara,Wyoming"
Park,Wyoming,"Park,Wyoming"
Platte,Wyoming,"Platte,Wyoming"
Sheridan,Wyoming,"Sheridan,Wyoming"
Sublette,Wyoming,"Sublette,Wyoming"
Sweetwater,Wyoming,"Sweetwater,Wyoming"
Teton,Wyoming,"Teton,Wyoming"
Uinta,Wyoming,"Uinta,Wyoming"
Washakie,Wyoming,"Washakie,Wyoming"
Weston,Wyoming,"Weston,Wyoming"
